Scenario,Time_to_25%_Settle (min),Time_to_50%_Settle (min),Time_to_75%_Settle (min),Time_to_90%_Settle (min),Time_to_100%_Settle (min)
base,6.8513383333333335,8.926517222222223,11.231001666666666,15.214662222222222,24.059854444444447
blocksize-double,5.864312777777778,7.301696111111111,9.725451111111111,14.815281666666667,22.52516888888889
blocksize-half,8.305247777777778,14.846086904761904,19.818309444444445,25.326740804597698,46.93333055555556
decrease-difficulty,3.606291111111111,4.394612222222222,5.718357222222222,6.827028888888889,11.743818333333333
decrease-throughput,5.291803939393939,10.622282777777778,16.93915586419753,21.838782142857145,32.85248159722222
increase-difficulty,10.673118333333333,17.480205555555553,21.323898888888888,25.595802222222222,40.083396666666665
increase-throughput,4.293401666666667,5.8730327777777775,8.489141666666667,13.27461388888889,21.904943333333335
malicious,7.1851183333333335,8.647697777777777,10.5634,13.630722222222223,23.061180555555556
malicious2,6.11398,13.148261979166668,19.958222222222222,29.684398148148148,49.048043262411355
malicious3,15.523207526881722,21.563509139784948,27.9169140625,35.03889128787878,48.16643652482269
rate-decrease,6.469165,7.298245,8.597245555555556,9.816566111111111,19.41909722222222
rate-increase,18.70503666666667,26.469652222222223,33.40029277777778,39.83647666666666,68.21534444444445
